asset_id,new_no,no_pc,Equipment_details,type_equipment,project,spec,ssd,ram,gpu,monitor1,brand_1,monitor2,brand_2,yfm_1,How_long,Service_life,update
178,430156GPHP082,CA-0128,HP Pavilion A6775L,PC,,,,,,,,,,,,,
179,430156GPHP084,CA-0130,HP Pavilion P6075L,PC,,,,,,,,,,,,,
180,430156GPHP085,CA-0131,HP Pavilion G3082L,PC,,,,,,,,,,,,,
181,430156GPHP087,CA-0134,HP Pavilion P3685L,PC,,,,,,,,,,,,,
182,430156GPHP088,CA-0135,HP Pavilion P7-1022L,PC,,,,,,,,,,,,,
183,430156SVIB089,CA-0136,Computer IBM Server (Server HR),PC,,,,,,,,,,,,,
184,430156GPHP092,CA-0139,HP Pavilion P6275L,PC,,,,,,,,,,,,,
185,CA-0140,CA-0140,HP Pavilion 110-013l (H6L69AA#AKL),PC,,,,,,,,,,,,,
186,430156GNHP093,CA-0141,Computer HP pavlion P6-2182I,PC,,,,,,,,,,,,,
187,430156GNAC095,CA-0143,Computer Acer Aspire m1930 ,PC,,,,,,,,,,,,,
188,430156GNCC098,CA-0146,Computor Digital (คอมประกอบ),PC,,,,,,,,,,,,,
189,430156GNAS099,CA-0147,Computer Asus PC A2-M11A-TH003D,PC,,,,,,,,,,,,,
190,430156GNAS101,CA-0149,Computer Asus PC A2-M11A-TH003D,PC,,,,,,,,,,,,,
191,430156GNHP102,CA-0150,computer HP Pavilion 110-113L,PC,,,,,,,,,,,,,
192,430155GPHP104,CA-0153,HP Pavilion P6-2182i,PC,,,,,,,,,,,,,
193,430155GPHP106,CA-0155,HP Pavilion P6-2392L,PC,,,,,,,,,,,,,
194,430157GPAS110,CA-0159,ASUS PC A2- M11AA-TH003D,PC,,,,,,,,,,,,,
195,430158GNHP114,CA-0163, HP Pavilion 500-301x (F7G66AA#AKL),PC,,,,,,,,,,,,,
196,430158GPHP115,CA-0164,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
197,430158GPHP117,CA-0166,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
198,430158GPHP118,CA-0167,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
199,430158GPHP119,CA-0168,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
200,430158GNCC121,CA-0170,COLORS VIEW (คอมประกอบขึ้นมาใหม่),PC,,,,,,,,,,,,,
201,430158GNCC122,CA-0171,COLORS VIEW (คอมประกอบขึ้นมาใหม่),PC,,,,,,,,,,,,,
202,430158GNCC125,CA-0174,IRON Computer Case (คอมประกอบหน้ากากสีเหลือง),PC,,,,,,,,,,,,,
203,430158GNCC126,CA-0175,IRON Computer Case (คอมประกอบหน้ากากสีน้ำเงิน) ,PC,,,,,,,,,,,,,
204,430158GPHP127,CA-0176,HP Pavilion 550-013l (หน้ากากสี่ขาว),PC,,,,,,,,,,,,,
205,430158GPLV132,CA-0181,LENOVO IdeaCentre H5050 (90B7003UTA) ,PC,,,,,,,,,,,,,
206,430158GPLV133,CA-0182,LENOVO Idea Center H5050 (90B7003UTA),PC,,,,,,,,,,,,,
207,430158GPLV134,CA-0183,Lenovo Idea center H50-50 i5 (90B7000WTA),PC,,,,,,,,,,,,,
208,430158GPLV137,CA-0186, Lenovo IdeaCentra H5050 (90B7000WTA),PC,,,,,,,,,,,,,
209,430158GPLV138,CA-0187, Lenovo IdeaCentra H5050 (90B7000WTA),PC,,,,,,,,,,,,,
210,430158GPLV139,CA-0188, Lenovo IdeaCentra H5050 (90B700FYTA),PC,,,,,,,,,,,,,
211,430158GPLV140,CA-0189, Lenovo IdeaCentra H5050 (90B700FYTA),PC,,,,,,,,,,,,,
212,430158GNLV142,CA-0191,LENOVO idea Cantre H5050 (90B7003RTA),PC,,,,,,,,,,,,,
213,430159GNLV146,CA-0195,LENOVO IdeaCenter H5050 (90B700D2TA),PC,,,,,,,,,,,,,
214,430159GNLV147,CA-0196,LENOVO IdeaCenter H5050 (90B700D2TA),PC,,,,,,,,,,,,,
215,430159GNLV148,CA-0197,LENOVO IdeaCenter H5050 (90B700D2TA),PC,,,,,,,,,,,,,
216,430159GPCC149,CA-0198,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
217,430159GPCC151,CA-0200,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
218,430159GPCC152,CA-0201,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
219,430158GNCC153,CA-0202,Comp. คอมสั่งประกอบ ใช้งานทั่วไป,PC,,,,,,,,,,,,,
220,430159GNCC155,CA-0204,Comp. คอมสั่งประกอบ ใช้งานทั่วไป,PC,,,,,,,,,,,,,
221,430159GPCC157,CA-0206,Comp+กราฟฟิก,PC,,,,,,,,,,,,,
222,430159GPCC158,CA-0207,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
223,430159GPCC159,CA-0208,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
224,430159GNCC161,CA-0210,Comp. คอมสั่งประกอบ ใช้งานทั่วไป,PC,,,,,,,,,,,,,
225,430159GPCC162,CA-0211,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
226,430159GNCC163,CA-0212,Comp. คอมสั่งประกอบ ใช้งานทั่วไป,PC,,,,,,,,,,,,,
227,430159GNCC164,CA-0213,Computer ประกอบทั่วไป,PC,,,,,,,,,,,,,
228,430159GPHP170,CA-0219,HP Pavilion 550-155L  สเปคกราฟฟิค,PC,,,,,,,,,,,,,
229,430159GPCC174,CA-0223,COMPUTER ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
230,430159GPCC175,CA-0224,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
231,430159GPCC176,CA-0225,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
232,430159GPCC177,CA-0226,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
233,430159GPCC178,CA-0227,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
234,430159GPCC180,CA-0229,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
235,430159GPCC181,CA-0230,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
236,430159GPCC189,CA-0238,Computer ประกอบกราฟฟิก,PC,,,,,,,,,,,,,
237,430160GPDE193,CA-0240,Computer Dell Vostro V3668 (W2681223TH),PC,,,,,,,,,,,,,
238,430160GNDE194,CA-0241,Computer Dell Vostro V3668 (W2681501PTH),PC,,,,,,,,,,,,,
239,430160GPDE195,CA-0242,Computer Dell Vostro V3668 (W2681223TH),PC,,,,,,,,,,,,,
240,430161GNDE200,CA-0247,PC Dell Vostro V3668-W2681501PTH,PC,,,,,,,,,,,,,
241,430161GPCC201,CA-0248,คอมประกอบกราฟฟิก AMD Ryzen 5 1400,PC,,,,,,,,,,,,,
242,430162GPCC202,CA-0249,คอมประกอบกราฟฟิก AMD Ryzen 5 2600,PC,,,,,,,,,,,,,
243,430163GPCC008,CA-0257,คอมประกอบกราฟฟิก Intel i5-9400f,PC,,,,,,,,,,,,,
244,430163GPCC009,CA-0258,คอมประกอบกราฟฟิก Intel i5-9400f,PC,,,,,,,,,,,,,
245,430163GPCC012,CA-0261,คอมประกอบกราฟฟิก Intel i5-10400,PC,,,,,,,,,,,,,
246,430163GPCC013,CA-0262,คอมประกอบกราฟฟิก Intel i5-10400,PC,,,,,,,,,,,,,
247,430166GGDE001,CA-0268,PC Dell Vastro V3910,PC,,,,,,,,,,,,,
248,430166GEDE002,CA-0269,PC Dell Vastro V3910,PC,,,,,,,,,,,,,
249,430168GEDE002,CA-0272,คอมประกอบ i5-14400,PC,,,,,,,,,,,,,
250,430168GEDE004,CA-0274,คอมประกอบ i5-14400,PC,,,,,,,,,,,,,
251,430168GEDE005,CA-0275,คอมประกอบ i5-14400,PC,,,,,,,,,,,,,
252,430168GEDE006,CA-0276,คอมประกอบ I7-14700 RTX5060,PC,,,,,,,,,,,,,
253,431463DNDJ001,DN-0001,Dji mavic mini combo,Drone,,,,,,,,,,,,,
254,431468DNDJ001,DN-0002,โดรนบินสำรวจ DJI MINI 4K,Drone,,,,,,,,,,,,,
255,431260FXO0017,FXO-0001,FXO 4 Chanel เบอร์พิ้นฐาน,Accessories_IT,,,,,,,,,,,,,
256,430355LEHP001,MO-0001,"Monitor HP HDcollor 2011s LED 20""",Monitor,,,,,,,,,,,,,
257,430355LEHP002,MO-0002,"Monitor HP HDcollor 2011s LED 20""",Monitor,,,,,,,,,,,,,
258,430355LEHP003,MO-0004,"Monitor HP HDcollor 2011s LED 20""",Monitor,,,,,,,,,,,,,
259,430355LCSS004,MO-0005,"Monitor SUMSUNG LCD 20""",Monitor,,,,,,,,,,,,,
260,430355LCSS005,MO-0006,"Monitor Sumsung  LCD 20""",Monitor,,,,,,,,,,,,,
261,430355LCSS006,MO-0007,"Monitor Sumsung  LCD 20""",Monitor,,,,,,,,,,,,,
262,430355LCSS007,MO-0008,"Monitor Sumsung  LCD 20""",Monitor,,,,,,,,,,,,,
263,430355LCHP008,MO-0009,"Monitor HP HD  LCD 21 """,Monitor,,,,,,,,,,,,,
264,430355LCHP009,MO-0010,"Monitor HP HD LCD 20""",Monitor,,,,,,,,,,,,,
265,430354LCLG010,MO-0011,Monitor LG  LCD 18.5'  ,Monitor,,,,,,,,,,,,,
266,430356LEAO011,MO-0012,"Monitor LED ""20"" AOC E2051SDN",Monitor,,,,,,,,,,,,,
267,430356LEAO012,MO-0013,"Monitor AOC E2051SDN LED 20""",Monitor,,,,,,,,,,,,,
268,430356LEPL013,MO-0014,"จอ LED 20"" PHILIPS",Monitor,,,,,,,,,,,,,
269,430356LEHP014,MO-0016,"Monitor HP  LED ""20""",Monitor,,,,,,,,,,,,,
270,430356LEHP015,MO-0017,"Monitor HP  LED ""20""",Monitor,,,,,,,,,,,,,
271,430355LESS016,MO-0018,"Monitor LED SUMSUNG ""20""",Monitor,,,,,,,,,,,,,
272,430355LESS018,MO-0021,"Monitor Sumsung LED 20""",Monitor,,,,,,,,,,,,,
273,430355LEHP019,MO-0022,"Monitor HP W2072B 20 """,Monitor,,,,,,,,,,,,,
274,430355LEHP020,MO-0023,"Monitor HP W2072B LED 20""",Monitor,,,,,,,,,,,,,
275,430355LESS021,MO-0024,"Monitor Sumsung LED 20""",Monitor,,,,,,,,,,,,,
276,MO-0027,MO-0027,"Monitor Sumsung LED 20""",Monitor,,,,,,,,,,,,,
277,430355LCSS024,MO-0028,"Monitor Sumsung LCD 20""",Monitor,,,,,,,,,,,,,
278,430352LCHP025,MO-0030,"Monitor LCD HP1907V 20 """,Monitor,,,,,,,,,,,,,
279,430354LCSS029,MO-0036,Monitor sumsung 20 S20300,Monitor,,,,,,,,,,,,,
280,430352LESS030,MO-0037,"Monitor LED Sumsung 20""",Monitor,,,,,,,,,,,,,
281,430355LEHP033,MO-0043,"Monitor HP  Color 20""",Monitor,,,,,,,,,,,,,
282,430355LEDE034,MO-0044,"Monitor Dell  LED 20""",Monitor,,,,,,,,,,,,,
283,430355LEDE035,MO-0045,"Monitor Dell LED 20""",Monitor,,,,,,,,,,,,,
284,430355LESS036,MO-0046,"Monitor Samsung 21""",Monitor,,,,,,,,,,,,,
285,430355LEDE037,MO-0047,"Monitor LED Dell 20""",Monitor,,,,,,,,,,,,,
286,MO-0048,MO-0048,"Monitor  Samsung  21""",Monitor,,,,,,,,,,,,,
287,430355LEHP038,MO-0049,"Monitor HP Color 20""",Monitor,,,,,,,,,,,,,
288,430355LESS039,MO-0050,"Monitor Samsung SyncMaster 743 20""",Monitor,,,,,,,,,,,,,
289,430355LCSS041,MO-0053,"Monitor samsung S20 B300 LCD 20"" ",Monitor,,,,,,,,,,,,,
290,430356LESS043,MO-0055,"Monitor Samsung LED 20""",Monitor,,,,,,,,,,,,,
291,430355LCSS044,MO-0056,"Monitor Samsung 740 NW LCD 20""",Monitor,,,,,,,,,,,,,
292,430355LCHP045,MO-0057,"Monitor HP S2031 LCD 20""",Monitor,,,,,,,,,,,,,
293,430355LESS046,MO-0058,"Monitor Samsung 20""",Monitor,,,,,,,,,,,,,
294,430355LESS047,MO-0059,"Monitor Samsung LED 20""",Monitor,,,,,,,,,,,,,
295,430355LCSS048,MO-0060,"Monitor Samsung 740 NW LCD 20""",Monitor,,,,,,,,,,,,,
296,430355LESS050,MO-0062,"Monitor Samsung LED 20""",Monitor,,,,,,,,,,,,,
297,430355LCHP051,MO-0063,"Monitor HP color Display 20""",Monitor,,,,,,,,,,,,,
298,430355LCSS054,MO-0066,"Monitor Sumsung LCD 20""",Monitor,,,,,,,,,,,,,
299,,MO-0067,,Monitor,,,,,,,,,,,,,
300,430355LEHP055,MO-0068,"Monitor LED HP 20 """,Monitor,,,,,,,,,,,,,
301,430354LESS056,MO-0069,"Monitor Samsung LED 17"" ",Monitor,,,,,,,,,,,,,
302,430355LCHP058,MO-0072,"Monitor HP color LCD 20""",Monitor,,,,,,,,,,,,,
303,430354LCSS059,MO-0073,"Monitor Samsung LCD 23"" ",Monitor,,,,,,,,,,,,,
304,430356LELG060,MO-0074,"Monitor LG LED 19.5 "" 20EN33T-B(DVI)",Monitor,,,,,,,,,,,,,
305,430354LCHP061,MO-0076,"Monitor HP W190V LCD 19""",Monitor,,,,,,,,,,,,,
306,430356LCSS063,MO-0079,Monitor Sumsung SyncMater S20B300,Monitor,,,,,,,,,,,,,
307,430356LCAC064,MO-0082,"Monitor Acer LCD 20""",Monitor,,,,,,,,,,,,,
308,430356LCAC065,MO-0083,Monitor Acer LCD P195HP,Monitor,,,,,,,,,,,,,
309,430356LCAS067,MO-0086,"Monitor Asus LCD 20""",Monitor,,,,,,,,,,,,,
310,430353LCAC069,MO-0090,"Monitor ACER G205h 20""",Monitor,,,,,,,,,,,,,
311,430356LEHP071,MO-0095,"Monitor HP LED 20""",Monitor,,,,,,,,,,,,,
312,430356LCDE074,MO-0100,"Monitor Dell 21""",Monitor,,,,,,,,,,,,,
313,MO-0102,MO-0102,"Monitor HP W2072B 20""",Monitor,,,,,,,,,,,,,
314,430356LCSS075,MO-0103,"Monitor Samsung 17""",Monitor,,,,,,,,,,,,,
315,430356LEAC077,MO-0105,"Monitor Acer LED 18""",Monitor,,,,,,,,,,,,,
316,430356LCLG078,MO-0106,"Monitor LG Flatron L1753s LCD 20""",Monitor,,,,,,,,,,,,,
317,430356LCSS079,MO-0107,"Monitor Samsung LCD 17""",Monitor,,,,,,,,,,,,,
318,430356LCAC080,MO-0108,Monitor LED 19.5'' ACER,Monitor,,,,,,,,,,,,,
319,430356LCHP081,MO-0109,"Monitor HP W17e LCD 17""",Monitor,,,,,,,,,,,,,
320,MO-0110,MO-0110,"Monitor HP W17e LCD 17""",Monitor,,,,,,,,,,,,,
321,430356LCLG082,MO-0113,Monitor LG 20M37D-B,Monitor,,,,,,,,,,,,,
322,430356LCSS084,MO-0115,"Monitor Samsung LCD 17""",Monitor,,,,,,,,,,,,,
323,430356LCAS085,MO-0118,"Monitor Asus LCD 18.5""",Monitor,,,,,,,,,,,,,
324,430356LCLG086,MO-0120,"Monitor LG LCD 17""",Monitor,,,,,,,,,,,,,
325,430356LCLG087,MO-0121,"Monitor LG LCD 20""",Monitor,,,,,,,,,,,,,
326,430356LCAO088,MO-0122,"Monitor AOC LCD 20""",Monitor,,,,,,,,,,,,,
327,430355LCHP089,MO-0123,"Monitor HP Color LCD 20""",Monitor,,,,,,,,,,,,,
328,430355LCHP090,MO-0124,"Monitor HP color LCD 20""",Monitor,,,,,,,,,,,,,
329,430356LCLG091,MO-0125,"Monitor LG LCD 17""",Monitor,,,,,,,,,,,,,
330,430356LCHP093,MO-0127,"Monitor Hp Color LCD 19""",Monitor,,,,,,,,,,,,,
331,430356LCSS095,MO-0129,"Monitor samsung 18.5""",Monitor,,,,,,,,,,,,,
332,430356LEPL098,MO-0134,"Monitor LED 18.5"" Philips 196V4LSB2/00 (DVI,B)",Monitor,,,,,,,,,,,,,
333,430356LEPL099,MO-0135,"Monitor LED 19.5"" PHILIPH",Monitor,,,,,,,,,,,,,
334,430356LESS100,MO-0136,"Monitor Samsung LED 18.5"" S19B150B",Monitor,,,,,,,,,,,,,
335,430356LESS180,MO-0138,"Monitor Sumaung S19B150B 20""",Monitor,,,,,,,,,,,,,
336,430356LCNE101,MO-0139,"Monitor NEC LCD 15"" Multisync",Monitor,,,,,,,,,,,,,
337,430356LCHP102,MO-0140,"Monitor HP Colur LCD20"" ",Monitor,,,,,,,,,,,,,
338,430356LEPL103,MO-0142,"Monitor LED 18.5""Philips 196V4LSB2/00ZDVIB)",Monitor,,,,,,,,,,,,,
339,430356LEPL104,MO-0143,"Monitor LED 18.5""Philips 196V4LSB2/00ZDVIB)",Monitor,,,,,,,,,,,,,
340,430356LEPL105,MO-0144,"Monitor LED 18.5""Philips 196V4LSB2/00ZDVIB)",Monitor,,,,,,,,,,,,,
341,430356LEPL106,MO-0145,"Monitor LED 18.5"" Philips 196V4LSB2/00(DVI,B)",Monitor,,,,,,,,,,,,,
342,430356LEPL107,MO-0146,"Monitor LED 18.5"" PHILIPS 196V4LSB2 / 00 (DVI,B)",Monitor,,,,,,,,,,,,,
343,430356LEPL108,MO-0147,"Monitor LED 18.5""Philips 196V4LSB2/00 ZDVI,B)",Monitor,,,,,,,,,,,,,
344,430356LEPL110,MO-0149,"Monitor LED 18.5""Philips 196V4LSB2/00 ZDVI,B)",Monitor,,,,,,,,,,,,,
345,430356LCLG111,MO-0150,"Monitor LG 18.5 """,Monitor,,,,,,,,,,,,,
346,430356LCLG112,MO-0151,"Monitor LG 18.5""",Monitor,,,,,,,,,,,,,
347,430355LEHP113,MO-0153,"Monitor HP LED 20"" TSS-20X11 ",Monitor,,,,,,,,,,,,,
348,430355LCHP114,MO-0154,"Monitor HP LCD HP2011S 20""",Monitor,,,,,,,,,,,,,
349,430355LEHP115,MO-0155,"Monitor HP LED 20""",Monitor,,,,,,,,,,,,,
350,430355LELG116,MO-0156,"Monitor LG LED 17""",Monitor,,,,,,,,,,,,,
351,430355LESS049,MO-0161,"Monitor Samsung S20""",Monitor,,,,,,,,,,,,,
352,430358LEHP120,MO-0162,"LED 19.45'' HP 20WD F4Z63AS#A2K (DVI, B) ",Monitor,,,,,,,,,,,,,
353,430358LEHP121,MO-0163,"LED 19.45'' HP 20WD F4Z63AS#A2K (DVI, B)",Monitor,,,,,,,,,,,,,
354,430358LEHP122,MO-0164,"LED 19.45'' HP 20WD F4Z63AS#A2K (DVI, B)",Monitor,,,,,,,,,,,,,
355,430358LEHP123,MO-0165,"LED 19.45'' HP 20WD F4Z63AS#A2K (DVI, B)",Monitor,,,,,,,,,,,,,
356,430358LCHP124,MO-0166,"HP 19.45"" LED Backlit LCD withou Speaker",Monitor,,,,,,,,,,,,,
357,430358LEHP125,MO-0167,"HP 19.45"" LED Backlit LCD withou Speaker",Monitor,,,,,,,,,,,,,
358,430358LEHP126,MO-0168,"HP 19.45"" LED Backlit LCD withou Speaker",Monitor,,,,,,,,,,,,,
359,430358LEAC127,MO-0169,"LED 19.5"" ACER G206HQLGbd (DVI B) ",Monitor,,,,,,,,,,,,,
360,430358LEAC128,MO-0170,"LED 19.5"" ACER G206HQLGbd (DVI B) ",Monitor,,,,,,,,,,,,,
361,430358LEAC130,MO-0172,"LED 19.5"" ACER G206HQLGbd (DVI B) ",Monitor,,,,,,,,,,,,,
362,430358LEPL131,MO-0173,"LED 21.5"" PHILIPS 223V5LSB2/00 (DVI B)",Monitor,,,,,,,,,,,,,
363,430358LCLG133,MO-0176,Monitor LG 20M37D-B,Monitor,,,,,,,,,,,,,
364,430358LCLG135,MO-0178,Monitor LG 20M37D-B,Monitor,,,,,,,,,,,,,
365,430359LEAC142,MO-0185,"LED 19.5 ACER G206HQLGbd (DVI,B)",Monitor,,,,,,,,,,,,,
366,430359LEAC143,MO-0186,"LED 19.5 ACER G206HQLGbd (DVI,B)",Monitor,,,,,,,,,,,,,
367,430359LEAC146,MO-0189,"จอ LED 19.5"" ACER (G206HQLGbd+DVI) B",Monitor,,,,,,,,,,,,,
368,430359LEAC147,MO-0190,"จอ LED 19.5"" ACER (G206HQLGbd+DVI) B",Monitor,,,,,,,,,,,,,
369,430359LEAC148,MO-0191,Monitor LED 19.5'' ACER,Monitor,,,,,,,,,,,,,
370,430359LEAC149,MO-0192,"จอ LED 19.5"" ACER (G206HQLGbd+DVI) B",Monitor,,,,,,,,,,,,,
371,430359LEAC150,MO-0193,"จอ LED 19.5"" ACER (G206HQLGbd+DVI) B",Monitor,,,,,,,,,,,,,
372,430359LEAC151,MO-0194,"Monitor Acer Led 19.5"" G206HQLGbd ",Monitor,,,,,,,,,,,,,
373,430359LEAC154,MO-0197,"Monitor Acer Led 19.5"" G206HQLGbd ",Monitor,,,,,,,,,,,,,
374,430359LEAC155,MO-0198,"Monitor Acer Led 19.5"" G206HQLGbd ",Monitor,,,,,,,,,,,,,
375,430359LEAC157,MO-0200,"Monitor Acer Led 19.5"" G206HQLGbd ",Monitor,,,,,,,,,,,,,
376,430359LEAC158,MO-0201,"Monitor Acer Led 19.5"" G206HQLGbd ",Monitor,,,,,,,,,,,,,
377,430359LEAC159,MO-0202,"Monitor Acer Led 19.5"" G206HQLGbd ",Monitor,,,,,,,,,,,,,
378,430359LEAC160,MO-0203,Monitor Acer Led 19.5,Monitor,,,,,,,,,,,,,
379,430359LEAC161,MO-0204,Monitor Acer Led 19.5,Monitor,,,,,,,,,,,,,
380,430359LEAC162,MO-0205,Monitor LED 19.5'' ACER,Monitor,,,,,,,,,,,,,
381,430359LEAC163,MO-0206,Monitor LED 19.5'' ACER ,Monitor,,,,,,,,,,,,,
382,430359LEAC165,MO-0208,Monitor LED 19.5'' ACER G206HQLGbd ,Monitor,,,,,,,,,,,,,
383,430359LEAC166,MO-0209,Monitor LED 19.5'' ACER G206HQLGbd ,Monitor,,,,,,,,,,,,,
384,430359LEAC167,MO-0210,"จอ Monitor LED 19.5'' ACER G206HQLGbd (DVI, B)",Monitor,,,,,,,,,,,,,
385,430359LEAC168,MO-0211,"Monitor - LED 19.5"" ACER",Monitor,,,,,,,,,,,,,
386,430359LEAC169,MO-0212,"Monitor - LED 19.5"" ACER",Monitor,,,,,,,,,,,,,
387,430359LEAC170,MO-0213,"MONITOR LED 19.5"" S200HQL",Monitor,,,,,,,,,,,,,
388,430359LEAC171,MO-0214,"MONITOR LED 19.5"" S200HQL",Monitor,,,,,,,,,,,,,
389,430359LEAC172,MO-0215,"MONITOR LED 19.5"" S200HQL",Monitor,,,,,,,,,,,,,
390,430359LEAC173,MO-0216,Monitor LED 19.5'' ACER,Monitor,,,,,,,,,,,,,
391,430359LEAC174,MO-0217,Monitor LED 19.5'' ACER,Monitor,,,,,,,,,,,,,
392,430359LEAC175,MO-0218,Monitor LED 19.5'' ACER,Monitor,,,,,,,,,,,,,
393,430359LEAC176,MO-0219,Monitor LED 19.5'' ACER ,Monitor,,,,,,,,,,,,,
394,430359LEAC178,MO-0221,Monitor LED 19.5'' ACER ,Monitor,,,,,,,,,,,,,
